Device: Dual Mono-Stereo Adapter,,Total Cost,Total Print time (hr),Total filament (g),,,,,,,
Version: V1.0,Date Created: 4/20/2021, $5.98 ,0.63,6.37,,,,,,,
Commercial Parts,,,,,,,,,,,
"Part type (Electrical, Mechanical, Sanitization, etc)",Part Name,Qty Needed,Pkg Qty,$ / pkg,$/unit,Price for qty needed,,Link,,,
Electrical,Stereo Jack,3,1, $1.94 , $1.94 , $5.82 ,,https://www.digikey.ca/product-detail/en/cui-inc/SJ1-3535NG/CP1-3535NG-ND/738699,,,
,,,,,,,,https://www.amazon.ca/gp/product/B01M1PAL43/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,
Part,Description,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,,
Top Enclosure,,1,3.84, $0.10 ,22,,,,,,
Bottom Enclosure,,1,2.53, $0.06 ,16,,,,,,
,,,, $-   ,,,,,,,
,,,, $-   ,,,,,,,
,,,, $-   ,,,,,,,
,,,Total Print Cost:, $0.16 ,,,,,,,
Tools for Assembly,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,
Part and description,Link,,,,,,,,,,
